Row,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
EIF4EBP2,40191368.14588003,1.0089440276650403,0.1886844015188394,6.4169821744071776,1.3900219144494362e-10,5.426706878506825e-09
EIF4EBP3,8034866.731645456,-0.4144307043855627,0.46688012997962475,-1.1150383239502888,0.2648339992676737,0.4409332452529675
EIF4ENIF1,10124446.90641128,-0.07136663115922556,0.08087780464410906,-0.28166946548289706,0.7781969698723421,0.8782733152380062
EIF4G1,67040063.253644146,0.7186436965533513,0.34194161222976777,-3.4493850725046267,0.0005618648444525607,0.0030922222250540257
EIF4G2,221924081.81528443,2.8068831504727196,0.23262886209427644,0.25500658167735485,0.7987180158078049,0.8917735828841753
EIF4G3,13382287.305836443,-0.8352063062829072,0.23222728530910147,-1.2791742634259229,0.2008356967112087,0.3612559097783222
EIF4H,84699547.38132761,-0.42900540454739394,0.10978569245248912,0.21151508190559526,0.8324853647682829,0.910842526793309
EIF5,38485705.673695356,0.002694918638074404,0.0041232517192136,0.16036462488985148,0.8725938541858802,0.9353481477163873
EIF5A,121556667.42696898,1.0808490334093257,0.3112393719805115,-3.781107319085585,0.0001561323454779812,0.0010297946438699891
EIF5A2,1835438.1816794407,-0.00019204049770159674,0.0016193499834198158,1.5267294807180039,0.12682829346028293,0.25563056814173757
EIF5AL1,13344516.828734653,-0.7003233182835404,0.3338304353522845,-3.122010152059203,0.0017962074452749794,0.00821443878612188
EIF5B,42029614.27495782,-0.06999473728884988,0.06430789404717592,-1.0019658593945935,0.3163600821391134,0.5000636666024479
EIF6,83434298.77461578,0.9323105858229558,0.3324243457013674,-3.5601912564732143,0.000370584789313495,0.002169371487166485
ELAC1,3296021.3510978906,0.6234324351928272,0.2858467845561865,3.1747309232311336,0.0014997550353153411,0.007070321296343444
ELAC2,18879028.906636354,-0.002306219000980802,0.004027388465786995,-0.7726594570339961,0.4397239466767072,0.6234633272928706
ELANE,366603.1384469401,3.5020024761081947e-06,0.0022695801914661253,1.565563718756958,0.11745078932527575,0.24152012622871868
